cluster,extid
52,52007-03
52,52007-06
52,52030-05
52,52030-09
52,52034-01
52,52040-01
52,52044-01
52,52065-02
52,52068-02
52,52071-02
52,52073-01
52,52073-02
76,76002-01
76,76004-02
76,76005-01
76,76006-03
76,76008-02
76,76008-04
76,76009-01
76,76014-01
76,76014-02
76,76015-01
76,76015-02
76,76016-02
