hhid,own_cattle,hecon_hh_preselected,herd_preselected
93034,no,yes,no
80108,no,yes,no
80197,no,yes,no
95108,no,yes,no
80140,no,yes,no
67052,no,yes,no
81030,no,yes,no
95020,no,yes,no
95135,no,yes,no
95056,no,yes,no
30020,no,yes,no
95169,no,yes,no
95136,no,yes,no
67077,no,yes,no
77020,no,yes,no
38063,no,yes,no
77061,no,yes,no
80035,no,yes,no
30024,no,yes,no
77045,no,yes,no
9056,no,yes,no
93040,no,yes,no
95058,no,yes,no
95176,no,yes,no
95048,no,yes,no
30093,no,yes,no
93045,no,yes,no
9078,no,yes,no
77134,no,yes,no
80121,no,yes,no
50079,no,yes,no
30096,no,yes,no
77129,no,yes,no
77165,no,yes,no
9101,no,yes,no
80184,no,yes,no
81055,no,yes,no
81090,no,yes,no
9010,no,yes,no
30107,no,yes,no
18007,no,yes,no
77094,no,yes,no
77042,no,yes,no
18023,no,yes,no
95078,no,yes,no
93042,no,yes,no
67015,no,yes,no
77092,no,yes,no
81021,no,yes,no
67053,no,yes,no
95101,no,yes,no
18004,no,yes,no
77172,no,yes,no
72037,no,yes,no
93010,no,yes,no
80031,no,yes,no
15001,no,yes,no
30018,no,yes,no
77183,no,yes,no
80092,no,yes,no
38036,no,yes,no
15048,no,yes,no
9109,no,yes,no
9020,no,yes,no
9047,no,yes,no
38043,no,yes,no
38056,no,yes,no
30088,no,yes,no
9039,no,yes,no
50011,no,yes,no
68012,no,yes,no
29010,no,yes,no
5054,no,yes,no
61053,no,yes,no
64024,no,yes,no
88506,no,yes,no
19061,no,yes,no
88164,no,yes,no
96024,no,yes,no
96058,no,yes,no
19006,no,yes,no
61033,no,yes,no
88425,no,yes,no
91009,no,yes,no
73101,no,yes,no
45144,no,yes,no
88337,no,yes,no
88482,no,yes,no
73037,no,yes,no
45084,no,yes,no
88172,no,yes,no
88241,no,yes,no
64016,no,yes,no
91018,no,yes,no
88501,no,yes,no
78004,no,yes,no
88354,no,yes,no
92016,no,yes,no
29126,no,yes,no
29050,no,yes,no
61009,no,yes,no
88356,no,yes,no
96063,no,yes,no
8014,no,yes,no
45014,no,yes,no
96017,no,yes,no
88101,no,yes,no
64009,no,yes,no
45096,no,yes,no
73090,no,yes,no
88430,no,yes,no
29142,no,yes,no
29113,no,yes,no
54047,no,yes,no
45047,no,yes,no
61060,no,yes,no
5008,no,yes,no
29118,no,yes,no
73013,no,yes,no
88424,no,yes,no
45004,no,yes,no
88048,no,yes,no
54006,no,yes,no
91029,no,yes,no
88473,no,yes,no
19008,no,yes,no
88386,no,yes,no
73091,no,yes,no
92030,no,yes,no
88505,no,yes,no
45056,no,yes,no
73011,no,yes,no
88234,no,yes,no
19055,no,yes,no
29081,no,yes,no
45007,no,yes,no
88045,no,yes,no
73097,no,yes,no
88128,no,yes,no
88275,no,yes,no
73041,no,yes,no
73083,no,yes,no
54032,no,yes,no
29007,no,yes,no
91006,no,yes,no
88021,no,yes,no
96002,no,yes,no
5009,no,yes,no
19004,no,yes,no
88194,no,yes,no
78013,no,yes,no
88199,no,yes,no
19014,no,yes,no
88359,no,yes,no
96031,no,yes,no
54020,no,yes,no
61087,no,yes,no
88333,no,yes,no
96001,no,yes,no
45057,no,yes,no
88058,no,yes,no
88152,no,yes,no
73081,no,yes,no
88081,no,yes,no
88314,no,yes,no
73068,no,yes,no
88005,no,yes,no
5029,no,yes,no
88131,no,yes,no
88305,no,yes,no
29079,no,yes,no
96049,no,yes,no
45052,no,yes,no
45136,no,yes,no
88449,no,yes,no
73042,no,yes,no
73104,no,yes,no
54002,no,yes,no
88264,no,yes,no
88215,no,yes,no
73115,no,yes,no
8029,no,yes,no
5053,no,yes,no
29067,no,yes,no
8059,no,yes,no
19064,no,yes,no
45059,no,yes,no
62050,no,yes,no
88411,no,yes,no
29018,no,yes,no
19013,no,yes,no
5065,no,yes,no
73059,no,yes,no
88402,no,yes,no
62036,no,yes,no
54053,no,yes,no
73074,no,yes,no
88263,no,yes,no
92061,no,yes,no
29108,no,yes,no
29112,no,yes,no
45133,no,yes,no
73009,no,yes,no
62040,no,yes,no
5044,no,yes,no
88056,no,yes,no
88285,no,yes,no
54052,no,yes,no
5069,no,yes,no
73022,no,yes,no
73058,no,yes,no
45116,no,yes,no
88188,no,yes,no
92026,no,yes,no
73071,no,yes,no
29003,no,yes,no
29122,no,yes,no
45111,no,yes,no
8032,no,yes,no
91025,no,yes,no
61052,no,yes,no
92062,no,yes,no
45137,no,yes,no
88052,no,yes,no
29058,no,yes,no
96032,no,yes,no
88049,no,yes,no
29116,no,yes,no
8027,no,yes,no
92039,no,yes,no
45016,no,yes,no
64027,no,yes,no
88211,no,yes,no
88253,no,yes,no
73096,no,yes,no
29011,no,yes,no
73102,no,yes,no
88447,no,yes,no
88334,no,yes,no
88268,no,yes,no
96016,no,yes,no
54021,no,yes,no
73016,no,yes,no
54031,no,yes,no
45138,no,yes,no
29055,no,yes,no
88282,no,yes,no
88553,no,yes,no
29032,no,yes,no
92055,no,yes,no
96047,no,yes,no
61002,no,yes,no
61016,no,yes,no
8005,no,yes,no
62021,no,yes,no
19046,no,yes,no
88394,no,yes,no
88435,no,yes,no
88179,no,yes,no
45013,no,yes,no
8047,no,yes,no
29063,no,yes,no
96022,no,yes,no
54010,no,yes,no
5045,no,yes,no
45048,no,yes,no
88180,no,yes,no
45022,no,yes,no
8012,no,yes,no
8060,no,yes,no
96019,no,yes,no
88383,no,yes,no
54018,no,yes,no
45130,no,yes,no
54008,no,yes,no
88353,no,yes,no
88016,no,yes,no
5076,no,yes,no
92025,no,yes,no
88422,no,yes,no
88458,no,yes,no
61005,no,yes,no
8068,no,yes,no
61036,no,yes,no
29001,no,yes,no
88301,no,yes,no
78009,no,yes,no
45018,no,yes,no
61024,no,yes,no
5055,no,yes,no
29068,no,yes,no
54069,no,yes,no
88330,no,yes,no
29070,no,yes,no
91017,no,yes,no
8056,no,yes,no
88115,no,yes,no
96040,no,yes,no
62039,no,yes,no
61083,no,yes,no
73012,no,yes,no
73028,no,yes,no
29097,no,yes,no
73035,no,yes,no
78019,no,yes,no
92018,no,yes,no
92053,no,yes,no
88165,no,yes,no
73099,no,yes,no
