cluster,hhid,extid
92,92060,92060-02
92,92060,92060-03
56,56115,56115-03
43,43105,43105-03
43,43105,43105-04
43,43105,43105-05
43,43105,43105-06
17,17017,17017-03
17,17017,17017-04
28,28075,28075-03
28,28075,28075-04
68,68022,68022-05
68,68022,68022-06
68,68022,68022-07
79,79034,79034-03
79,79034,79034-04
67,67094,67094-04
67,67094,67094-05
78,78028,78028-02
78,78028,78028-03
45,45085,45085-04
45,45085,45085-05
45,45085,45085-06
45,45085,45085-07
45,45085,45085-08
05,05075,05075-03
53,53026,53026-03
77,77116,77116-03
77,77116,77116-04
77,77116,77116-05
77,77116,77116-06
77,77116,77116-07
36,36026,36026-06
36,36026,36026-07
36,36026,36026-08
36,36026,36026-09
36,36026,36026-14
82,82004,82004-03
82,82004,82004-04
81,81080,81080-02
92,92026,92026-03
92,92026,92026-04
92,92026,92026-05
92,92026,92026-07
07,07007,07007-04
07,07007,07007-05
08,08021,08021-06
08,08021,08021-07
19,19026,19026-03
19,19026,19026-04
19,19026,19026-05
19,19026,19026-06
03,03026,03026-05
03,03026,03026-06
03,03026,03026-07
46,46033,46033-02
80,80092,80092-07
53,53025,53025-03
67,67059,67059-03
77,77115,77115-03
77,77115,77115-04
77,77115,77115-06
21,21029,21029-05
21,21029,21029-06
21,21029,21029-07
21,21029,21029-08
45,45086,45086-02
45,45086,45086-03
70,70029,70029-03
70,70029,70029-04
07,07064,07064-03
07,07064,07064-04
07,07064,07064-05
34,34105,34105-02
26,26032,26032-05
26,26032,26032-06
26,26032,26032-07
26,26032,26032-10
07,07063,07063-03
22,22014,22014-05
22,22014,22014-06
22,22014,22014-07
07,07062,07062-04
07,07062,07062-05
07,07062,07062-06
38,38027,38027-02
23,23094,23094-04
23,23094,23094-05
23,23094,23094-06
46,46030,46030-04
46,46030,46030-05
46,46030,46030-06
46,46030,46030-07
69,69016,69016-03
56,56028,56028-03
28,28107,28107-05
28,28107,28107-06
28,28107,28107-07
28,28107,28107-08
44,44031,44031-03
44,44031,44031-04
44,44031,44031-05
44,44031,44031-06
44,44031,44031-07
44,44031,44031-08
44,44031,44031-09
24,24071,24071-03
24,24071,24071-04
56,56066,56066-03
56,56066,56066-04
37,37025,37025-04
37,37025,37025-05
37,37025,37025-06
02,02074,02074-04
12,12082,12082-04
12,12082,12082-05
26,26031,26031-02
87,87034,87034-02
87,87034,87034-03
84,84023,84023-05
45,45091,45091-04
94,94017,94017-05
94,94017,94017-06
25,25013,25013-04
25,25013,25013-05
77,77180,77180-07
10,10092,10092-03
10,10092,10092-04
17,17019,17019-05
17,17019,17019-06
17,17019,17019-07
81,81025,81025-04
81,81025,81025-10
81,81025,81025-11
81,81025,81025-12
63,63022,63022-03
63,63022,63022-04
63,63022,63022-05
63,63022,63022-06
63,63022,63022-10
10,10091,10091-03
95,95185,95185-04
95,95185,95185-05
95,95185,95185-06
95,95185,95185-10
84,84021,84021-04
20,20025,20025-02
20,20025,20025-04
69,69031,69031-05
69,69031,69031-06
69,69031,69031-07
33,33097,33097-03
33,33097,33097-04
22,22015,22015-08
25,25010,25010-06
49,49089,49089-03
78,78026,78026-02
78,78026,78026-03
81,81024,81024-06
81,81024,81024-07
81,81024,81024-08
13,13032,13032-04
79,79033,79033-03
79,79033,79033-04
79,79033,79033-05
79,79033,79033-06
14,14034,14034-06
14,14034,14034-07
14,14034,14034-08
03,03022,03022-03
41,41030,41030-03
15,15023,15023-07
15,15023,15023-08
33,33096,33096-02
27,27023,27023-03
27,27023,27023-04
90,90168,90168-04
90,90168,90168-05
90,90168,90168-06
85,85054,85054-03
85,85054,85054-04
85,85054,85054-05
82,82051,82051-03
82,82051,82051-04
82,82051,82051-05
07,07061,07061-04
49,49088,49088-03
30,30117,30117-03
30,30117,30117-05
77,77112,77112-04
77,77112,77112-05
22,22017,22017-03
22,22017,22017-04
79,79032,79032-04
79,79032,79032-05
15,15022,15022-03
19,19024,19024-03
19,19024,19024-04
19,19024,19024-05
19,19024,19024-06
14,14033,14033-05
53,53055,53055-03
53,53055,53055-04
57,57021,57021-04
33,33023,33023-02
33,33023,33023-03
12,12084,12084-03
12,12084,12084-04
12,12084,12084-05
27,27021,27021-03
27,27021,27021-04
23,23027,23027-03
23,23027,23027-04
81,81022,81022-03
81,81022,81022-04
81,81022,81022-05
81,81022,81022-06
03,03063,03063-02
03,03063,03063-03
56,56063,56063-02
07,07015,07015-04
07,07015,07015-05
07,07015,07015-06
07,07015,07015-07
07,07015,07015-08
31,31063,31063-03
10,10053,10053-03
10,10053,10053-04
40,40033,40033-03
40,40033,40033-04
28,28105,28105-05
10,10052,10052-07
10,10052,10052-08
10,10052,10052-09
23,23092,23092-03
23,23092,23092-04
83,83147,83147-02
03,03021,03021-03
83,83100,83100-03
83,83100,83100-04
83,83100,83100-05
87,87029,87029-04
87,87029,87029-05
87,87029,87029-06
87,87029,87029-07
87,87029,87029-12
94,94016,94016-03
94,94016,94016-04
02,02064,02064-02
58,58026,58026-06
58,58026,58026-07
58,58026,58026-08
38,38059,38059-03
38,38059,38059-04
38,38059,38059-05
38,38059,38059-06
18,18054,18054-06
18,18020,18020-05
96,96020,96020-03
96,96020,96020-04
96,96020,96020-05
96,96020,96020-06
87,87028,87028-02
92,92056,92056-04
92,92056,92056-05
92,92056,92056-06
61,61018,61018-04
93,93019,93019-03
93,93019,93019-04
93,93019,93019-05
14,14031,14031-05
14,14031,14031-06
14,14031,14031-07
61,61053,61053-03
61,61053,61053-04
61,61053,61053-05
48,48018,48018-05
48,48018,48018-06
48,48018,48018-07
55,55020,55020-03
55,55020,55020-04
55,55020,55020-05
68,68019,68019-04
68,68019,68019-05
68,68019,68019-06
85,85017,85017-05
22,22019,22019-10
22,22019,22019-11
22,22019,22019-12
22,22019,22019-13
14,14030,14030-04
93,93048,93048-06
93,93048,93048-07
93,93048,93048-08
79,79031,79031-05
